0000,WM_NULL
0001,WM_CREATE
0002,WM_DESTROY
0003,WM_MOVE
0005,WM_SIZE
0006,WM_ACTIVATE
0007,WM_SETFOCUS
0008,WM_KILLFOCUS
000a,WM_ENABLE
000b,WM_SETREDRAW
000c,WM_SETTEXT
000d,WM_GETTEXT
000e,WM_GETTEXTLENGTH
000f,WM_PAINT
0010,WM_CLOSE
0011,WM_QUERYENDSESSION
0012,WM_QUIT
0013,WM_QUERYOPEN
0014,WM_ERASEBKGND
0015,WM_SYSCOLORCHANGE
0016,WM_ENDSESSION
0018,WM_SHOWWINDOW
0019,WM_CTLCOLOR
001a,WM_WININICHANGE
001b,WM_DEVMODECHANGE
001c,WM_ACTIVATEAPP
001d,WM_FONTCHANGE
001e,WM_TIMECHANGE
001f,WM_CANCELMODE
0020,WM_SETCURSOR
0021,WM_MOUSEACTIVATE
0022,WM_CHILDACTIVATE
0023,WM_QUEUESYNC
0024,WM_GETMINMAXINFO
0026,WM_PAINTICON
0027,WM_ICONERASEBKGND
0028,WM_NEXTDLGCTL
002a,WM_SPOOLERSTATUS
002b,WM_DRAWITEM
002c,WM_MEASUREITEM
002d,WM_DELETEITEM
002e,WM_VKEYTOITEM
002f,WM_CHARTOITEM
0030,WM_SETFONT
0031,WM_GETFONT
0032,WM_SETHOTKEY
0033,WM_GETHOTKEY
0037,WM_QUERYDRAGICON
0039,WM_COMPAREITEM
003d,WM_GETOBJECT
0041,WM_COMPACTING
0044,WM_COMMNOTIFY
0046,WM_WINDOWPOSCHANGING
0047,WM_WINDOWPOSCHANGED
0048,WM_POWER
0049,WM_COPYGLOBALDATA
004a,WM_COPYDATA
004b,WM_CANCELJOURNAL
004e,WM_NOTIFY
0050,WM_INPUTLANGCHANGEREQUEST
0051,WM_INPUTLANGCHANGE
0052,WM_TCARD
0053,WM_HELP
0054,WM_USERCHANGED
0055,WM_NOTIFYFORMAT
007b,WM_CONTEXTMENU
007c,WM_STYLECHANGING
007d,WM_STYLECHANGED
007e,WM_DISPLAYCHANGE
007f,WM_GETICON
0080,WM_SETICON
0081,WM_NCCREATE
0082,WM_NCDESTROY
0083,WM_NCCALCSIZE
0084,WM_NCHITTEST
0085,WM_NCPAINT
0086,WM_NCACTIVATE
0087,WM_GETDLGCODE
0088,WM_SYNCPAINT
00a0,WM_NCMOUSEMOVE
00a1,WM_NCLBUTTONDOWN
00a2,WM_NCLBUTTONUP
00a3,WM_NCLBUTTONDBLCLK
00a4,WM_NCRBUTTONDOWN
00a5,WM_NCRBUTTONUP
00a6,WM_NCRBUTTONDBLCLK
00a7,WM_NCMBUTTONDOWN
00a8,WM_NCMBUTTONUP
00a9,WM_NCMBUTTONDBLCLK
00ab,WM_NCXBUTTONDOWN
00ac,WM_NCXBUTTONUP
00ad,WM_NCXBUTTONDBLCLK
00b0,EM_GETSEL
00b1,EM_SETSEL
00b2,EM_GETRECT
00b3,EM_SETRECT
00b4,EM_SETRECTNP
00b5,EM_SCROLL
00b6,EM_LINESCROLL
00b7,EM_SCROLLCARET
00b8,EM_GETMODIFY
00b9,EM_SETMODIFY
00ba,EM_GETLINECOUNT
00bb,EM_LINEINDEX
00bc,EM_SETHANDLE
00bd,EM_GETHANDLE
00be,EM_GETTHUMB
00c1,EM_LINELENGTH
00c2,EM_REPLACESEL
00c3,EM_SETFONT
00c4,EM_GETLINE
00c5,EM_LIMITTEXT
00c5,EM_SETLIMITTEXT
00c6,EM_CANUNDO
00c7,EM_UNDO
00c8,EM_FMTLINES
00c9,EM_LINEFROMCHAR
00ca,EM_SETWORDBREAK
00cb,EM_SETTABSTOPS
00cc,EM_SETPASSWORDCHAR
00cd,EM_EMPTYUNDOBUFFER
00ce,EM_GETFIRSTVISIBLELINE
00cf,EM_SETREADONLY
00d0,EM_SETWORDBREAKPROC
00d1,EM_GETWORDBREAKPROC
00d2,EM_GETPASSWORDCHAR
00d3,EM_SETMARGINS
00d4,EM_GETMARGINS
00d5,EM_GETLIMITTEXT
00d6,EM_POSFROMCHAR
00d7,EM_CHARFROMPOS
00d8,EM_SETIMESTATUS
00d9,EM_GETIMESTATUS
00e0,SBM_SETPOS
00e1,SBM_GETPOS
00e2,SBM_SETRANGE
00e3,SBM_GETRANGE
00e4,SBM_ENABLE_ARROWS
00e6,SBM_SETRANGEREDRAW
00e9,SBM_SETSCROLLINFO
00ea,SBM_GETSCROLLINFO
00eb,SBM_GETSCROLLBARINFO
00f0,BM_GETCHECK
00f1,BM_SETCHECK
00f2,BM_GETSTATE
00f3,BM_SETSTATE
00f4,BM_SETSTYLE
00f5,BM_CLICK
00f6,BM_GETIMAGE
00f7,BM_SETIMAGE
00f8,BM_SETDONTCLICK
00ff,WM_INPUT
0100,WM_KEYDOWN
0100,WM_KEYFIRST
0101,WM_KEYUP
0102,WM_CHAR
